Dataset Name,Anomaly Percentage,Initial Anomaly Percentage,Resampled Anomaly Percentage,Number of Features,Model,F1 Score,ROC AUC,PR AUC,MCC,Kappa,Number of Samples,,,
AStamps.npz,40,50,40.25974026,9,ABOD,0.862068966,0.969845722,0.934605708,0.7841556,0.779369628,340,,,
AStamps.npz,40,50,40.25974026,9,KNN,0.79245283,0.980364656,0.955677826,0.711801933,0.688259109,340,,,
AStamps.npz,40,50,40.25974026,9,LOF,0.769230769,0.971248247,0.934294184,0.686496516,0.658031088,340,,,
AStamps.npz,40,50,40.25974026,9,OCSVM,0.730769231,0.961430575,0.908764106,0.627036188,0.601036269,340,,,
AStamps.npz,40,50,40.25974026,9,ISOFOREST,0.885245902,0.958625526,0.908836057,0.810309088,0.810010575,340,,,
Athyroid.npz,10,50,10,6,KNN,0.708171206,0.985457535,0.870274806,0.701586565,0.665477252,3772,,,
Athyroid.npz,10,50,10,6,LOF,0.636734694,0.956449686,0.751751854,0.608732931,0.58527493,3772,,,
Athyroid.npz,10,50,10,6,OCSVM,0.671698113,0.981513598,0.843649648,0.662833368,0.62272333,3772,,,
Athyroid.npz,10,50,10,6,ISOFOREST,0.694339623,0.982066006,0.759913305,0.690528355,0.648742411,3772,,,
Athyroid.npz,20,50,20,6,KNN,0.821917808,0.983813158,0.93026129,0.783844459,0.768683274,3772,,,
Athyroid.npz,20,50,20,6,LOF,0.737864078,0.948259914,0.823719695,0.669376887,0.664179104,3772,,,
Athyroid.npz,20,50,20,6,OCSVM,0.812785388,0.981587467,0.925379496,0.771748094,0.756820878,3772,,,
Athyroid.npz,20,50,20,6,ISOFOREST,0.81981982,0.983668632,0.923377596,0.782930317,0.765258216,3772,,,
Athyroid.npz,30,50,30,6,KNN,0.862559242,0.979485655,0.945254994,0.806071426,0.793152639,3772,,,
Athyroid.npz,30,50,30,6,LOF,0.78974359,0.943659878,0.875236431,0.695146883,0.693572496,3772,,,
Athyroid.npz,30,50,30,6,OCSVM,0.855769231,0.976710768,0.940322221,0.794183078,0.784172662,3772,,,
Athyroid.npz,30,50,30,6,ISOFOREST,0.876190476,0.981418166,0.947001961,0.826287216,0.814020029,3772,,,
